image_id,static_psnr,adaptive_psnr,static_ssim,adaptive_ssim,static_edge_preservation,adaptive_edge_preservation
IS20250115_171841_9465_61003253,28.130599802432176,47.7196359171442,0.717525173950635,0.9922055484255363,0.9524280821917808,0.9974680365296804
IS20250115_190348_9148_86297118,28.691282837489098,44.34085250123047,0.9320183041091967,0.9870458003833776,0.9631495433789954,0.9376038812785388
IS20250115_191316_7227_10120577,29.985985389858115,45.15361811167494,0.9371369332941861,0.9882284213512824,0.9718767123287672,0.9719315068493151
IS20250116_180218_7445_56958340,28.315823234122934,45.351730020917856,0.7631406589804854,0.9887166795424114,0.8675947488584475,0.9753721461187215
IS20250218_193552_3393_78829426,27.793146128955584,43.90261620319052,0.5824932106934267,0.9858245695196413,0.8027157534246575,0.9335205479452054
IS20250218_193621_8940_10081171,27.854886241765232,41.60527391178415,0.5654322385982666,0.9826753927805159,0.7800616438356165,0.8711849315068493
IS20250221_192657_5718_56712676,28.16265070800817,38.76861368703685,0.736657600113659,0.9779107485437056,0.828755707762557,0.9150365296803653
R10,27.71788172941312,43.819541960877466,0.6905276742162528,0.9757708806406792,0.9932334511427219,0.9983792073737568
R4,27.739092511197818,46.68533170158646,0.7307398299433039,0.986163757904724,0.9990610694052233,0.9996437216073527
R5,27.936559981640848,44.265615465676206,0.742844784776073,0.9778921573395772,0.9871498605581184,0.9989218467717889
R6,27.57555925410906,44.38481489116889,0.6606631620022265,0.9783136458915441,0.9172063827548103,0.9983715336852999
R7,27.7699273056435,42.00207426112338,0.6672028202745217,0.968683303168358,0.8696837782610983,0.9979571545086209
R9,27.715473033401942,45.03156777500511,0.6258129392208223,0.9801103242182689,0.9129365232490836,0.9992096100889271
Reference_Output_Quality,27.891163621044484,41.86408976083986,0.8254681547398841,0.9849025682491518,0.8587021819585007,0.932957176433445
